game_pk,date,winning_pitcher_id,winning_pitcher_name,winning_pitcher_wins,winning_pitcher_losses,winning_pitcher_era,losing_pitcher_id,losing_pitcher_name,losing_pitcher_wins,losing_pitcher_losses,losing_pitcher_era,save_pitcher_id,save_pitcher_name,save_pitcher_saves
825623,2025-11-10,801829,Jay Allmer,1,0,0.00,678738,Juan Sanchez,2,1,4.15,700327,Welinton Herrera,1
825653,2025-11-10,690658,Will Johnston,1,0,0.00,702910,Jhancarlos Lara,0,1,13.50,680893,Hueston Morrill,2
825592,2025-11-11,801270,Darwin Rodriguez,3,0,7.36,828471,Jakob Hall,0,2,16.88,802963,Mathew Peters,1
825617,2025-11-11,806270,Dominic Perachi,3,1,4.72,692030,Jose Corniell,1,2,8.18,700380,Joshua Loeschorn,1
825608,2025-11-11,695003,Randel Clemente,1,1,7.71,691028,Nate Wohlgemuth,0,1,108.00,,,
825574,2025-11-12,815292,Luis Martinez-Gomez,3,1,3.38,695632,Brandon Neely,0,1,27.00,680893,Hueston Morrill,3
825573,2025-11-12,806288,Stefan Raeth,1,0,0.00,807724,Justin Chambers,0,3,11.25,,,
825580,2025-11-13,822067,A.J. Causey,2,1,2.45,695366,Holt Jones,2,1,5.79,,,
825571,2025-11-13,691000,Carson Montgomery,2,0,1.80,693686,Spencer Miles,2,1,8.44,,,
825572,2025-11-14,683720,Edwin Jimenez,1,0,0.00,805321,Trevor Kuncl,0,1,135.00,,,
