pitcher_id,pitcher_name,age,airOuts,atBats,avg,balks,baseOnBalls,battersFaced,blownSaves,catchersInterference,caughtStealing,caughtStealingPercentage,completeGames,doubles,earnedRuns,era,gamesFinished,gamesPitched,gamesPlayed,gamesStarted,groundIntoDoublePlay,groundOuts,groundOutsToAirouts,hitBatsmen,hitByPitch,hits,hitsPer9Inn,holds,homeRuns,homeRunsPer9,inheritedRunners,inheritedRunnersScored,inningsPitched,intentionalWalks,losses,numberOfPitches,obp,ops,outs,pickoffs,pitchesPerInning,runs,runsScoredPer9,sacBunts,sacFlies,saveOpportunities,saves,shutouts,slg,stolenBasePercentage,stolenBases,strikeOuts,strikePercentage,strikeoutWalkRatio,strikeoutsPer9Inn,strikes,totalBases,triples,walksPer9Inn,whip,wildPitches,winPercentage,wins
692437,Winston Santos,23,18,71,.254,1,10,85,0,0,1,.167,0,4,9,4.42,0,5,5,2,1,17,0.94,3,3,18,8.84,0,2,0.98,0,0,18.1,0,1,328,.365,.788,55,0,17.89,11,5.40,0,1,0,0,0,.423,.833,5,19,.600,1.90,9.33,197,30,1,4.91,1.53,3,.667,2
806293,Payton Martin,21,4,11,.182,1,4,16,0,0,1,1.000,0,1,1,2.25,0,3,3,0,0,4,1.00,1,1,2,4.50,0,0,0.00,0,0,4.0,0,1,65,.438,.711,12,1,16.25,2,4.50,0,0,0,0,0,.273,.000,0,1,.510,0.25,2.25,33,3,0,9.00,1.50,0,.500,1
683720,Edwin Jimenez,23,8,35,.286,0,3,38,0,0,0,.000,0,2,2,2.16,3,7,7,0,1,11,1.38,0,0,10,10.80,1,2,2.16,0,0,8.1,0,0,138,.342,.913,25,0,16.56,3,3.24,0,0,1,1,0,.571,1.000,1,6,.630,2.00,6.48,87,20,1,3.24,1.56,0,.---,0
695366,Holt Jones,26,12,37,.135,0,7,49,0,0,2,.667,0,1,3,2.19,3,8,8,0,1,11,0.92,3,3,5,3.65,1,0,0.00,5,0,12.1,0,0,182,.313,.475,37,0,14.76,4,2.92,1,1,1,1,0,.162,.333,1,11,.620,1.57,8.03,112,6,0,5.11,0.97,0,1.000,1
702586,Fulton Lockhart,21,7,23,.304,0,9,37,1,0,0,.000,0,0,11,14.85,1,7,7,0,1,8,1.14,3,3,7,9.45,1,2,2.70,0,0,6.2,0,1,139,.514,1.079,20,1,20.85,11,14.85,0,2,1,0,0,.565,1.000,3,3,.470,0.33,4.05,66,13,0,12.15,2.40,1,.000,0
807748,Kannon Kemp,20,5,26,.154,0,3,29,0,0,0,.---,0,1,1,1.29,2,6,6,2,0,11,2.20,0,0,4,5.14,0,0,0.00,0,0,7.0,0,0,122,.241,.433,21,0,17.43,1,1.29,0,0,0,0,0,.192,.---,0,6,.640,2.00,7.71,78,5,0,3.86,1.00,0,1.000,2
690162,Kenny Serwa,27,13,54,.259,0,10,64,0,0,1,.250,0,4,11,7.24,0,4,4,4,0,16,1.23,0,0,14,9.22,0,0,0.00,0,0,13.2,0,1,242,.375,.745,41,0,17.71,12,7.90,0,0,0,0,0,.370,.750,3,11,.600,1.10,7.24,145,20,1,6.59,1.76,2,.667,2
806270,Dominic Perachi,24,13,67,.284,1,9,77,0,0,2,1.000,0,4,8,4.15,0,5,5,4,2,15,1.15,1,1,19,9.87,0,2,1.04,0,0,17.1,0,1,292,.377,.870,52,2,16.85,8,4.15,0,0,0,0,0,.493,.000,0,20,.620,2.22,10.38,181,33,2,4.67,1.62,2,.750,3
809915,Jakob Wright,22,2,33,.424,0,13,47,0,0,1,.100,0,4,12,14.73,0,5,5,2,2,7,3.50,0,0,14,17.18,1,0,0.00,0,0,7.1,0,1,199,.574,1.119,22,0,27.14,13,15.95,0,1,0,0,0,.545,.900,9,11,.520,0.85,13.50,104,18,0,15.95,3.68,5,.000,0
695402,Najer Victor,23,3,31,.226,0,3,35,0,0,0,.000,0,3,9,9.72,5,8,8,0,1,8,2.67,1,1,7,7.56,1,2,2.16,7,2,8.1,0,1,142,.314,.830,25,0,17.04,10,10.80,0,0,1,1,0,.516,1.000,3,13,.620,4.33,14.04,88,16,0,3.24,1.20,2,.000,0
