date,time_az,away_team,home_team,venue,venue_id,game_pk,game_type,status,status_reason,rescheduled,original_date,description
2025-11-02,12:35 PM,Surprise Saguaros,Glendale Desert Dogs,Camelback Ranch,3809,825661,Regular Season,Cancelled,,N,,Makeup of 10/10 PPD
2025-11-02,1:30 PM,Salt River Rafters,Mesa Solar Sox,Sloan Park,4629,825597,Regular Season,Final,,N,,
2025-11-02,5:00 PM,Peoria Javelinas,Scottsdale Scorpions,Scottsdale Stadium,2532,825610,Regular Season,Final,,N,,
2025-11-04,1:30 PM,Salt River Rafters,Surprise Saguaros,Surprise Stadium,2603,825579,Regular Season,Final,,N,,
2025-11-04,1:30 PM,Scottsdale Scorpions,Mesa Solar Sox,Sloan Park,4629,825596,Regular Season,Final,,N,,
2025-11-04,6:30 PM,Peoria Javelinas,Glendale Desert Dogs,Camelback Ranch,3809,825657,Regular Season,Final,,N,,
2025-11-05,1:30 PM,Scottsdale Scorpions,Surprise Saguaros,Surprise Stadium,2603,825577,Regular Season,Final,,N,,
2025-11-05,1:30 PM,Glendale Desert Dogs,Mesa Solar Sox,Sloan Park,4629,825594,Regular Season,Final,,N,,
2025-11-05,6:30 PM,Peoria Javelinas,Salt River Rafters,Salt River Fields at Talking Stick,4249,825625,Regular Season,Final,,N,,
2025-11-06,1:30 PM,Glendale Desert Dogs,Peoria Javelinas,Peoria Stadium,2530,825641,Regular Season,Final,,N,,
2025-11-06,6:30 PM,Surprise Saguaros,Salt River Rafters,Salt River Fields at Talking Stick,4249,825624,Regular Season,Final,,N,,
2025-11-06,6:30 PM,Scottsdale Scorpions,Mesa Solar Sox,Sloan Park,4629,825593,Regular Season,Final,,N,,
2025-11-07,1:30 PM,Scottsdale Scorpions,Glendale Desert Dogs,Camelback Ranch,3809,825655,Regular Season,Final,,N,,
2025-11-07,1:30 PM,Mesa Solar Sox,Peoria Javelinas,Peoria Stadium,2530,825640,Regular Season,Final,,N,,
2025-11-07,6:30 PM,Salt River Rafters,Surprise Saguaros,Surprise Stadium,2603,825576,Regular Season,Final,,N,,
2025-11-09,6:00 PM,National League Fall Stars,American League Fall Stars,Sloan Park,4629,825588,Fall Stars Game,Final,,N,,
2025-11-10,6:30 PM,Peoria Javelinas,Surprise Saguaros,Surprise Stadium,2603,825575,Regular Season,Final,,N,,
2025-11-10,6:30 PM,Scottsdale Scorpions,Salt River Rafters,Salt River Fields at Talking Stick,4249,825623,Regular Season,Final,,N,,
2025-11-10,6:30 PM,Mesa Solar Sox,Glendale Desert Dogs,Camelback Ranch,3809,825653,Regular Season,Final,,N,,
2025-11-11,12:30 PM,Peoria Javelinas,Mesa Solar Sox,Sloan Park,4629,825592,Regular Season,Final,,N,,
2025-11-11,3:30 PM,Surprise Saguaros,Salt River Rafters,Salt River Fields at Talking Stick,4249,825617,Regular Season,Final,,N,,
2025-11-11,6:30 PM,Glendale Desert Dogs,Scottsdale Scorpions,Scottsdale Stadium,2532,825608,Regular Season,Final,,N,,
2025-11-12,1:30 PM,Salt River Rafters,Mesa Solar Sox,Scottsdale Stadium,2532,825574,First Round,Final,,N,,3 seed vs 6 seed
2025-11-12,1:30 PM,Salt River Rafters,Glendale Desert Dogs,Camelback Ranch,3809,825654,Regular Season,Cancelled,,N,,
2025-11-12,1:30 PM,Surprise Saguaros,Peoria Javelinas,Peoria Stadium,2530,825634,Regular Season,Cancelled,,N,,
2025-11-12,1:30 PM,Mesa Solar Sox,Scottsdale Scorpions,Scottsdale Stadium,2532,825602,Regular Season,Cancelled,,N,,
2025-11-12,6:30 PM,Glendale Desert Dogs,Peoria Javelinas,Scottsdale Stadium,2532,825573,First Round,Final,,N,,4 Seed vs 5 Seed
2025-11-13,1:30 PM,Mesa Solar Sox,Surprise Saguaros,Salt River Fields at Talking Stick,4249,825580,Semifinal,Final,,N,,2 Seed vs 3/6 Winner
2025-11-13,6:30 PM,Peoria Javelinas,Scottsdale Scorpions,Salt River Fields at Talking Stick,4249,825571,Semifinal,Final,,N,,1 Seeds vs 4/5 Winner
2025-11-14,1:30 PM,Peoria Javelinas,Surprise Saguaros,Salt River Fields at Talking Stick,4249,825572,Championship,Final,,N,,AFL Championship
